City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,antofagasta,-23.65,-70.4,22.6,69,10,3.36,CL,1680195717
340,oriximina,-1.7656,-55.8661,27.14,85,95,2.04,BR,1680195787
341,dunedin,-45.8742,170.5036,8.45,92,44,1.45,NZ,1680195787
342,winnemucca,40.973,-117.7357,1.03,64,0,1.54,US,1680195787
343,rundu,-17.9333,19.7667,25.05,44,75,2.32,NA,1680195788
344,hambantota,6.1241,81.1185,26.61,77,12,0.49,LK,1680195788
345,kattivakkam,13.2167,80.3167,29.05,82,99,5.95,IN,1680195788
346,nome,64.5011,-165.4064,-1.96,93,100,4.63,US,1680195789
347,sao filipe,14.8961,-24.4956,24.17,72,14,4.06,CV,1680195789
348,diamantino,-14.4086,-56.4461,31.49,52,97,2.64,BR,1680195616
349,berezovyy,51.6667,135.7,-5.77,91,48,1.67,RU,1680195790
350,rio grande,-32.035,-52.0986,28.06,74,100,2.01,BR,1680195790
351,niquero,20.0431,-77.5828,29.49,52,0,1.98,CU,1680195790
352,grimshaw,56.1834,-117.6027,-2.21,80,100,3.09,CA,1680195790
353,sao joao da barra,-21.6403,-41.0511,34.05,69,100,5.6,BR,1680195791
354,morant bay,17.8815,-76.4093,32.06,62,7,5.93,JM,1680195791
355,mathbaria,22.2876,89.9593,25.08,87,43,4.3,BD,1680195792
356,kjollefjord,70.9457,27.3465,-1.97,100,100,0.0,NO,1680195793
357,nelson,-41.2833,173.2833,9.05,83,1,1.34,NZ,1680195793
358,severo-kurilsk,50.6789,156.125,-0.6,71,4,1.61,RU,1680195793
359,kulachi,31.9286,70.4592,20.34,58,79,2.28,PK,1680195793
360,balkhash,46.844,74.9804,2.81,49,1,10.34,KZ,1680195794
361,san pedro,14.35,121.0167,27.97,79,20,1.54,PH,1680195775
362,dole,47.0833,5.5,17.95,51,0,5.66,FR,1680195795
363,do gonbadan,30.3586,50.7981,19.05,55,0,2.06,IR,1680195796
364,prachuap khiri khan,12.2167,99.75,27.05,91,84,1.52,TH,1680195795
365,port moresby,-9.4431,147.1797,24.68,94,0,1.54,PG,1680195797
366,verkhoyansk,67.5447,133.385,-16.31,98,100,2.21,RU,1680195797
